Detected_Item,DB_Item,Detection_Time,DB_LastUpdated
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
Keringet 500ml,KERINGET-500 ML,,2025-03-14 08:59:50.833
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
BS TUZO MILK 500ML,BS TUZO MILK 500ML ,,2024-07-18 00:00:00.000
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
COLGATE CHARCOAL 120ML,COLGATE CHARCOAL 120ML ,,2025-03-11 07:03:35.407
